id;total;qualified;rejected;unreviewed;total_amount;qualified_amount;rejected_amount;unreviewed_amount
1;enable Response invoice;2019-12-26;Incredible;SQL deposit Fantastic Metal Computer;info-mediaries;Iceland Streamlined;Auto Loan Account Turnpike;Ball Beauty magenta
2;Direct Legacy;2019-12-27;XSS deploy Wooden;California impactful models;gold partnerships;Checking Account;Program SSL Colombia;Investment Account
3;Regional portal navigating;2019-12-26;Kansas Incredible Rubber Pizza Reactive;United Kingdom models;compress system;Investment Account Plaza Cambridgeshire;European Monetary Unit (E.M.U.-6) optical;wireless Interactions
4;SAS synthesizing withdrawal;2019-12-26;Internal salmon;Wooden Strategist Cedi;microchip;innovate Savings Account;Integration indexing Shirt;Agent
5;Soap Right-sized;2019-12-26;Fantastic Soft Salad;Shirt dynamic;invoice;compress virtual systems;North Dakota Handmade Plastic Mouse;high-level lime
6;Mobility Skyway scalable;2019-12-26;Small Berkshire Pennsylvania;XML input;Metrics Canyon Solutions;Ramp feed lime;Cross-platform Assurance;Data
7;policy Soft Sports;2019-12-26;Handmade Soft Ball Bedfordshire;24/7 redundant;Gibraltar Pound Via;French Southern Territories blue backing up;bypass;Table wireless
8;Industrial;2019-12-27;Auto Loan Account Personal Loan Account hack;brand Regional Mali;invoice;CSS Iowa bandwidth-monitored;azure static transmit;Swedish Krona
9;Qatari Rial Ball Assistant;2019-12-26;Jewelery;neural-net;Barbados Dollar methodologies;maximize Cheese rich;Analyst Montenegro;payment
10;client-driven PNG grid-enabled;2019-12-26;Avon Avon;withdrawal Communications;architecture interface Nakfa;Chips Gloves;Networked Washington;Bike
