id;from_email;sent_date;to_address;cc_address;notification_type;subject_line
1;Arizona National magenta;2019-12-29;Berkshire Coordinator Analyst;microchip;partnerships efficient;viral
2;Integration Cedi Alabama;2019-12-30;ubiquitous;Handmade;Denar Ball GB;Refined Cambridgeshire
3;upward-trending Jordanian Dinar secured line;2019-12-30;Berkshire invoice Niue;Applications;Realigned Fantastic Wooden Soap;Costa Rican Colon
4;digital Tasty payment;2019-12-30;Saint Helena;Reunion;Checking Account solutions;cross-platform killer Creative
5;Pennsylvania parse;2019-12-29;synthesizing;solutions client-driven;array;panel Rustic Wooden Gloves
6;Liaison Missouri Concrete;2019-12-30;Ergonomic withdrawal;e-enable Kids transmitter;lavender;Future Automated
7;multi-byte;2019-12-30;markets Small Granite Pizza;Bulgarian Lev neutral;Credit Card Account infrastructures grey;override Right-sized
8;Niue Rustic;2019-12-30;generate monitor;Shirt;Creek Investor Fantastic Metal Soap;eco-centric
9;quantify Rustic;2019-12-29;Table Identity;Licensed Dynamic Interactions;Wooden;Hat Germany
10;Intelligent;2019-12-30;Leone Rustic;next generation orchestration;Practical Cotton Bike Yemen redundant;Michigan quantify GB
