id;area;development_ind;rental_units;owner_occ_units;job_created;job_retained;geo_defined_beneficiaries;individual_beneficiaries;activity_beneficiaries;other_beneficiaries
1;Rubber;Dominican Republic Virginia Credit Card Account;incentivize Money Market Account;Home;Music;Bike transmit Dynamic;Corporate;China;microchip Practical back-end;Sri Lanka Rupee
2;Towels;generate Grass-roots;Soft;Saint Helena Investment Account;District;Berkshire Computer Buckinghamshire;Garden;vortals array;expedite Global;synthesize
3;Orchard;asymmetric New Mexico;Avon deposit;Cheese Rhode Island Practical;Shoal Salad;Factors fuchsia;distributed;bypassing;gold;Industrial
4;Facilitator unleash Mobility;Shoes;magenta;application monetize;PCI;AGP Ball Technician;infrastructure bandwidth-monitored navigating;Personal Loan Account;web-enabled;Computer Berkshire
5;Handcrafted Steel Fish Regional Operations;hard drive;bluetooth cross-platform;e-business ROI Cape Verde Escudo;killer;National Pizza system;panel Accounts;Highway Saint Martin;incubate;web-enabled
6;mobile Isle of Man;impactful magenta;Cheese e-services Hawaii;Progressive invoice;Plastic connect content;deposit Tasty payment;Agent Polarised Svalbard & Jan Mayen Islands;Table;Facilitator Internal;Auto Loan Account plum
7;aggregate tangible digital;Tanzanian Shilling;reboot Versatile Handcrafted Concrete Pizza;morph Borders maroon;Research hard drive;scalable;synergies Avon systematic;Intelligent Tools;Innovative bandwidth-monitored;Associate
8;Steel reboot;enhance Alley;SAS;New York bypass;sensor Missouri;UIC-Franc;Games Pizza;copying;Rhode Island;Security cross-platform
9;utilisation Public-key Money Market Account;South Dakota;high-level;Iceland Krona Towels;invoice Group Customer;back-end approach;indexing;Functionality payment;Arkansas Intelligent Steel;paradigm Borders
10;deposit Oregon backing up;black;circuit Avon Persevering;Chile;violet;Bermudian Dollar (customarily known as Bermuda Dollar);Handmade Cotton Shirt Norfolk Island Table;bandwidth Corporate Functionality;functionalities productize;1080p Cotton Intelligent
